Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Au Vin Bánh Mỳ Sốt Vang,-1,-1,"50 ngõ Đào Duy Từ, Hà Nội 10000 Việt Nam",-1,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7047697-Reviews-Au_Vin_Banh_My_Sot_Vang-Hanoi.html
Pleiku Saloon,-1,-1,"164 Xuan Dieu, Tay Ho West Lake, Hà Nội 000000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/24/7a/3e/31/our-second-floor-smoking.jpg,"Quầy bar, Quán rượu, Kiểu Việt, Quán rượu đặc sản, Quán bar phục vụ đồ ăn",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d24147539-Reviews-Pleiku_Saloon-Hanoi.html
Thuan' Cuisine,-1,-1,"5 Nguyen Sieu, Hang Buom, Hà Nội 01110 Việt Nam",-1,Bản địa,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25451325-Reviews-Thuan_Cuisine-Hanoi.html
Nhà Hàng Sentosa,-1,-1,"32 Nguyễn Văn Huyên, Quan Hoa Cầu Giấy, Hà Nội 10000 Việt Nam",-1,"Kiểu Á, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d24191713-Reviews-Nha_Hang_Sentosa-Hanoi.html
Tora Tora,-1,-1,"21 Hang Hom, Hà Nội Việt Nam",-1,"Kiểu Trung Quốc, Kiểu Á, Kiểu Hàn Quốc, Kiểu Việt, Phong cách ẩm thực Fusion Nhật Bản",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25162164-Reviews-Tora_Tora-Hanoi.html
Com Tam Minh Chau - Hu Tieu Nam Vang,-1,-1,"67 Tue Tinh Street Nguyen Du Ward, Hai Ba Trung District, Hanoi City, Hà Nội Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/22/2f/dc/02/signature-dish-with-flavour.jpg,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23910262-Reviews-Com_Tam_Minh_Chau_Hu_Tieu_Nam_Vang-Hanoi.html
Vuvuzuela Beer Club,-1,-1,"B4 Pham Ngoc Thach Level G2, Đong Đa, Ha Noi, Hà Nội Việt Nam",-1,"Quầy bar, Đồ nướng, Kiểu Á, Thịt nướng, Quán rượu",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10834917-Reviews-Vuvuzuela_Beer_Club-Hanoi.html
Bếp Thái Koh Yam - Nguyễn Văn Lộc,-1,-1,"137 Phố Nguyễn Văn Lộc, Khu đô thị Mỗ Lao, Hà Đông, Hà Nội Việt Nam",-1,"Kiểu Á, Kiểu Thái, Kiểu Việt",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25454625-Reviews-B_p_Thai_Koh_Yam_Nguy_n_Van_L_c-Hanoi.html
Fansipan Restaurant,-1,-1,"34 Hoang Cau, O Cho Dua, Dong Da, Ha Noi, Hà Nội 10000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/06/00/22/9a/fansipan-restaurant.jpg,10 ₫ - 15 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d5579989-Reviews-Fansipan_Restaurant-Hanoi.html
Phở Gia,-1,-1,"42 Láng Hạ Quận Đống Đa, Hà Nội 100000 Việt Nam",-1,30.000 ₫ - 55.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d20869062-Reviews-Pho_Gia-Hanoi.html
Phở Bò Quang Tèo,-1,-1,"26 Lê Quý Đôn Bạch Đằng, Hai Bà Trưng, Hà Nội 100000 Việt Nam",-1,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d18114563-Reviews-Pho_Bo_Quang_Teo-Hanoi.html
Bấc Cafe & Chill,-1,-1,"133 Ngõ 189 Hoàng Hoa Thám, Hà Nội 100000 Việt Nam",-1,"Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d21301426-Reviews-Ba_c_Cafe_Chill-Hanoi.html
Maison Tet Decor,-1,-1,"58 Từ Hoa, Hà Nội 100000 Việt Nam",-1,"Cà phê, Cửa hàng thức ăn ngon",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d26353383-Reviews-Maison_Tet_Decor-Hanoi.html
Monsieur Crêpe,-1,-1,"39 Ngõ Tự Do Ngã tư Trần Đại Nghĩa giao cắt Đại La, Hà Nội 10000 Việt Nam",-1,Kiểu Pháp,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d8667047-Reviews-Monsieur_Crepe-Hanoi.html
